county,precinct,neutral_id
Churchill,01,2
Churchill,02,2
Churchill,03,2
Churchill,04,2
Churchill,05,2
Churchill,06,2
Churchill,07,2
Churchill,08,2
Churchill,09,2
Clark,1000,3
Clark,1001,1
Clark,1004,1
Clark,1005,1
Clark,1006,1
Clark,1007,1
Clark,1008,3
Clark,1009,4
Clark,1010,1
Clark,1011,4
Clark,1012,3
Clark,1015,4
Clark,1016,4
Clark,1660,3
Clark,1696,3
Clark,1700,3
Clark,1706,3
Clark,2002,1
Clark,2003,4
Clark,2004,4
Clark,2005,1
Clark,2007,2
Clark,2009,4
Clark,2010,4
Clark,2011,4
Clark,2013,4
Clark,2014,1
Clark,2015,1
Clark,2016,1
Clark,2019,1
Clark,2021,1
Clark,2023,4
Clark,2025,1
Clark,2028,1
Clark,2029,1
Clark,2030,4
Clark,2032,4
Clark,2033,4
Clark,2036,1
Clark,2040,4
Clark,2042,1
Clark,2045,3
Clark,2046,1
Clark,2047,1
Clark,2048,4
Clark,2049,4
Clark,2051,2
Clark,2052,4
Clark,2053,2
Clark,2054,4
Clark,2055,4
Clark,2056,2
Clark,2060,4
Clark,2063,4
Clark,2065,4
Clark,2066,1
Clark,2067,4
Clark,2072,1
Clark,2073,4
Clark,2074,2
Clark,2077,4
Clark,2079,2
Clark,2080,2
Clark,2081,4
Clark,2082,4
Clark,2086,4
Clark,2087,1
Clark,2088,1
Clark,2511,3
Clark,3000,1
Clark,3003,4
Clark,3006,1
Clark,3007,1
Clark,3009,1
Clark,3011,3
Clark,3013,1
Clark,3014,4
Clark,3016,4
Clark,3017,4
Clark,3018,3
Clark,3021,3
Clark,3022,4
Clark,3027,3
Clark,3030,3
Clark,3033,3
Clark,3034,3
Clark,3035,3
Clark,3038,4
Clark,3039,1
Clark,3041,1
Clark,3043,4
Clark,3045,4
Clark,3048,1
Clark,3050,4
Clark,3051,1
Clark,3055,4
Clark,3056,2
Clark,3057,3
Clark,3058,3
Clark,3059,3
Clark,3061,1
Clark,3062,3
Clark,3064,1
Clark,3065,4
Clark,3066,1
Clark,3067,2
Clark,3068,1
Clark,3069,3
Clark,3071,2
Clark,3072,1
Clark,3074,4
Clark,3781,4
Clark,3793,4
Clark,4000,4
Clark,4001,4
Clark,4002,1
Clark,4005,1
Clark,4006,2
Clark,4007,4
Clark,4008,4
Clark,4009,4
Clark,4010,2
Clark,4011,1
Clark,4012,2
Clark,4013,1
Clark,4018,4
Clark,4019,1
Clark,4020,1
Clark,4021,4
Clark,4022,1
Clark,4024,4
Clark,4026,3
Clark,4027,4
Clark,4030,4
Clark,4031,4
Clark,4032,4
Clark,4034,1
Clark,4035,4
Clark,4036,1
Clark,4037,1
Clark,4040,4
Clark,4043,4
Clark,4044,1
Clark,4045,4
Clark,4046,4
Clark,4400,1
Clark,4402,4
Clark,4404,1
Clark,4407,4
Clark,4411,1
Clark,4413,4
Clark,4414,1
Clark,4417,4
Clark,4420,4
Clark,4421,1
Clark,4422,1
Clark,4423,1
Clark,4716,1
Clark,5001,3
Clark,5002,1
Clark,5005,1
Clark,5007,1
Clark,5008,1
Clark,5011,1
Clark,5012,1
Clark,5013,4
Clark,5015,3
Clark,5017,1
Clark,5018,1
Clark,5020,4
Clark,5022,1
Clark,5023,3
Clark,5024,3
Clark,5025,3
Clark,5028,4
Clark,5030,4
Clark,5031,1
Clark,5037,3
Clark,5038,1
Clark,5039,1
Clark,5040,1
Clark,5041,3
Clark,5042,3
Clark,5044,4
Clark,5045,1
Clark,5046,1
Clark,5048,3
Clark,5049,3
Clark,5530,4
Clark,5547,1
Clark,5550,3
Clark,5556,3
Clark,6000,1
Clark,6001,3
Clark,6003,3
Clark,6004,3
Clark,6007,4
Clark,6009,4
Clark,6011,4
Clark,6012,3
Clark,6013,4
Clark,6014,1
Clark,6015,4
Clark,6016,3
Clark,6017,3
Clark,6018,3
Clark,6030,4
Clark,6031,4
Clark,6032,4
Clark,6033,1
Clark,6034,4
Clark,6036,3
Clark,6037,3
Clark,6038,4
Clark,6041,3
Clark,6042,3
Clark,6043,1
Clark,6044,3
Clark,6045,3
Clark,6046,4
Clark,6154,3
Clark,6509,3
Clark,6528,3
Clark,6552,3
Clark,6741,3
Clark,6742,3
Clark,7001,1
Clark,7003,1
Clark,7004,3
Clark,7006,3
Clark,7007,1
Clark,7011,1
Clark,7015,3
Clark,7017,1
Clark,7019,3
Clark,7021,1
Clark,7022,3
Clark,7023,1
Clark,7024,3
Clark,7025,1
Clark,7028,3
Clark,7029,3
Clark,7030,3
Clark,7032,3
Clark,7034,3
Clark,7036,3
Clark,7037,1
Clark,7039,3
Clark,7040,3
Clark,7041,3
Clark,7042,3
Clark,7044,3
Clark,7052,1
Clark,7053,1
Clark,7055,1
Clark,7056,3
Clark,7057,1
Clark,7058,1
Clark,7059,3
Clark,7060,3
Clark,7378,3
Douglas,01-Centerville,2
Douglas,02-Fish Springs,2
Douglas,03-Gardnerville,2
Douglas,04-Carson Valley Estates,2
Douglas,05-Genoa,2
Douglas,06-Jacks Valley,2
Douglas,07-Minden,2
Douglas,08-Ranchos I,2
Douglas,09-Ranchos II,2
Douglas,10-TRE,2
Douglas,18-Ranchos III-2,2
Douglas,29-Autumn Hils,2
Elko,01,2
Elko,02,2
Elko,03,2
Elko,04,2
Elko,05,2
Elko,06,2
Elko,07,2
Elko,08,2
Elko,09,2
Esmeralda,01,4
Esmeralda,03,4
Esmeralda,04,4
Eureka,01,2
Eureka,02,2
Eureka,03,2
Eureka,04,2
Eureka,3S,2
Humboldt,01,2
Humboldt,02,2
Humboldt,03,2
Humboldt,04,2
Humboldt,05,2
Humboldt,06,2
Humboldt,07,2
Humboldt,08,2
Humboldt,09,2
Humboldt,7,2
Lander,Argenta 01,2
Lander,Argenta 02,2
Lander,Argenta 03,2
Lander,Argenta 04,2
Lander,Argenta 05,2
Lander,Austin 07,2
Lander,Gillman Springs Ranch 08,2
Lander,Kingston 09,2
Lander,Southern Lander County 06,2
Lincoln,01,2
Lincoln,02,4
Lincoln,03,2
Lincoln,04,2
Lincoln,05,4
Lincoln,2 - CALIENTE,1
Lyon,01,2
Lyon,02,2
Lyon,03,2
Lyon,04,2
Lyon,05,2
Lyon,06,2
Lyon,07,2
Lyon,08,4
Lyon,09,2
Mineral,01,4
Mineral,02,4
Mineral,03,4
Mineral,04,4
Mineral,05,4
Mineral,06,4
Mineral,07,4
Mineral,08,4
Mineral,09,4
Nye,01,4
Nye,02,4
Nye,06,4
Nye,08,4
Nye,09,4
Nye,33,1
Nye,34,4
Nye,AMARGOSA VLY 06,2
