county,precinct,office,district,party,candidate,votes
Carson City,101,U.S. House,2,Republican,Mark E. Amodei,397
Carson City,101,"Justice and Municipal Court Judge, Department 1",,,Thomas T. Armstrong,621
Carson City,101,Mayor,,,Lori Bagwell,463
Carson City,101,U.S. Senate,,Republican,Sam Brown,375
Carson City,101,"Supreme Court Justice, Seat C",,,Elissa Cadish,520
Carson City,101,U.S. House,2,Independent American,Lynn Chapman,67
Carson City,101,U.S. Senate,,Libertarian,Chris Cunningham,20
Carson City,101,State Board of Education,2,,Paul D. Davis,366
Carson City,101,U.S. Senate,,Independent American,Janine Hansen,28
Carson City,101,President,,Democratic,Kamala D. Harris and Tim Walz,404
Carson City,101,School Board Trustee,7,,John W. Henley,305
Carson City,101,U.S. House,2,Independent,Greg Kidd,326
Carson City,101,"District Court Judge, First Judicial District, Department  2",Court,,Mark Krueger,347
Carson City,101,"Supreme Court Justice, Seat F",,,Patty Lee,518
Carson City,101,"District Court Judge, First Judicial District, Department  2",Court,,Kristin Luis,405
Carson City,101,"Carson City Supervisor, Ward 4",,,Lucia Maloney,288
Carson City,101,President,,,None Of These Candidates,12
Carson City,101,U.S. Senate,,,None Of These Candidates,28
Carson City,101,"Supreme Court Justice, Seat C",,,None Of These Candidates,229
Carson City,101,"Supreme Court Justice, Seat F",,,None Of These Candidates,230
Carson City,101,"Supreme Court Justice, Seat G",,,None Of These Candidates,226
Carson City,101,State Assembly,40,Republican,Philip P. O'Neill,444
Carson City,101,President,,Libertarian,Chase Oliver and Michael Ter Maat,3
Carson City,101,State Board of Education,2,,Angela Orr,355
Carson City,101,School Board Trustee,7,,Michelle Pedersen,399
Carson City,101,State Assembly,40,Democratic,Katherine Ramsey,367
Carson City,101,School Board Trustee,2,,Rebecca Roberts,634
Carson City,101,U.S. Senate,,Democratic,Jacky S. Rosen,388
Carson City,101,School Board Trustee,5,,Ashliee Saucedo,300
Carson City,101,"Carson City Supervisor, Ward 4",,,Lisa Schuette,453
Carson City,101,Mayor,,,Jim Shirk,312
Carson City,101,President,,Constitution,Joel Skousen and Rik Combs,4
Carson City,101,"Supreme Court Justice, Seat G",,,Lidia Stiglich,521
Carson City,101,U.S. House,2,Libertarian,Javi T. Tachiquin,24
Carson City,101,President,,Republican,Donald J. Trump and Jd Vance,423
Carson City,101,School Board Trustee,5,,"Jr., M. Walker",395
Carson City,101,"Carson City Supervisor, Ward 2",,,Maurice M. White,643
Carson City,103,U.S. House,2,Republican,Mark E. Amodei,644
Carson City,103,"Justice and Municipal Court Judge, Department 1",,,Thomas T. Armstrong,969
Carson City,103,Mayor,,,Lori Bagwell,671
Carson City,103,U.S. Senate,,Republican,Sam Brown,580
Carson City,103,"Supreme Court Justice, Seat C",,,Elissa Cadish,834
Carson City,103,U.S. House,2,Independent American,Lynn Chapman,79
Carson City,103,U.S. Senate,,Libertarian,Chris Cunningham,9
Carson City,103,State Board of Education,2,,Paul D. Davis,477
Carson City,103,U.S. Senate,,Independent American,Janine Hansen,22
Carson City,103,President,,Democratic,Kamala D. Harris and Tim Walz,583
Carson City,103,School Board Trustee,7,,John W. Henley,351
Carson City,103,U.S. House,2,Independent,Greg Kidd,464
Carson City,103,"District Court Judge, First Judicial District, Department  2",Court,,Mark Krueger,503
Carson City,103,"Supreme Court Justice, Seat F",,,Patty Lee,847
Carson City,103,"District Court Judge, First Judicial District, Department  2",Court,,Kristin Luis,619
Carson City,103,"Carson City Supervisor, Ward 4",,,Lucia Maloney,428
Carson City,103,President,,,None Of These Candidates,19
Carson City,103,U.S. Senate,,,None Of These Candidates,25
Carson City,103,"Supreme Court Justice, Seat C",,,None Of These Candidates,256
Carson City,103,"Supreme Court Justice, Seat F",,,None Of These Candidates,245
Carson City,103,"Supreme Court Justice, Seat G",,,None Of These Candidates,234
Carson City,103,State Assembly,40,Republican,Philip P. O'Neill,706
Carson City,103,President,,Libertarian,Chase Oliver and Michael Ter Maat,5
Carson City,103,State Board of Education,2,,Angela Orr,593
Carson City,103,School Board Trustee,7,,Michelle Pedersen,699
Carson City,103,State Assembly,40,Democratic,Katherine Ramsey,488
Carson City,103,School Board Trustee,2,,Rebecca Roberts,948
Carson City,103,U.S. Senate,,Democratic,Jacky S. Rosen,589
Carson City,103,School Board Trustee,5,,Ashliee Saucedo,344
Carson City,103,"Carson City Supervisor, Ward 4",,,Lisa Schuette,687
Carson City,103,Mayor,,,Jim Shirk,495
Carson City,103,President,,Constitution,Joel Skousen and Rik Combs,3
Carson City,103,"Supreme Court Justice, Seat G",,,Lidia Stiglich,857
Carson City,103,U.S. House,2,Libertarian,Javi T. Tachiquin,13
Carson City,103,President,,Republican,Donald J. Trump and Jd Vance,618
Carson City,103,School Board Trustee,5,,"Jr., M. Walker",702
Carson City,103,"Carson City Supervisor, Ward 2",,,Maurice M. White,960
Carson City,105,U.S. House,2,Republican,Mark E. Amodei,619
Carson City,105,"Justice and Municipal Court Judge, Department 1",,,Thomas T. Armstrong,791
Carson City,105,Mayor,,,Lori Bagwell,592
Carson City,105,U.S. Senate,,Republican,Sam Brown,556
Carson City,105,"Supreme Court Justice, Seat C",,,Elissa Cadish,689
Carson City,105,U.S. House,2,Independent American,Lynn Chapman,27
Carson City,105,U.S. Senate,,Libertarian,Chris Cunningham,13
Carson City,105,State Board of Education,2,,Paul D. Davis,406
Carson City,105,U.S. Senate,,Independent American,Janine Hansen,5
Carson City,105,President,,Democratic,Kamala D. Harris and Tim Walz,428
Carson City,105,School Board Trustee,7,,John W. Henley,310
Carson City,105,U.S. House,2,Independent,Greg Kidd,379
Carson City,105,"District Court Judge, First Judicial District, Department  2",Court,,Mark Krueger,393
Carson City,105,"Supreme Court Justice, Seat F",,,Patty Lee,690
Carson City,105,"District Court Judge, First Judicial District, Department  2",Court,,Kristin Luis,553
Carson City,105,"Carson City Supervisor, Ward 4",,,Lucia Maloney,383
Carson City,105,President,,,None Of These Candidates,30
Carson City,105,U.S. Senate,,,None Of These Candidates,17
Carson City,105,"Supreme Court Justice, Seat C",,,None Of These Candidates,205
Carson City,105,"Supreme Court Justice, Seat F",,,None Of These Candidates,201
Carson City,105,"Supreme Court Justice, Seat G",,,None Of These Candidates,172
Carson City,105,State Assembly,40,Republican,Philip P. O'Neill,679
Carson City,105,President,,Libertarian,Chase Oliver and Michael Ter Maat,7
Carson City,105,State Board of Education,2,,Angela Orr,448
Carson City,105,School Board Trustee,7,,Michelle Pedersen,562
